auc1,auc2,gap,center2,tau_r,recovered,recovered_within_window,t_return,functional_time,x_max
0.0,1.0,8,18,1.0,True,True,22.5,27.5,0.18200104307863768
0.0,1.0,8,18,1.489795918367347,True,True,23.75,26.25,0.2519349343134245
0.0,1.0,8,18,1.9795918367346939,True,True,24.950000000000003,25.049999999999997,0.3105891416457283
0.0,1.0,8,18,2.4693877551020407,True,True,26.25,23.75,0.36021930637014193
0.0,1.0,8,18,2.9591836734693877,True,True,27.55,22.45,0.4026969070692221
0.0,1.0,8,18,3.4489795918367347,True,True,28.950000000000003,21.049999999999997,0.43943520112809153
0.0,1.0,8,18,3.9387755102040813,True,True,30.35,19.65,0.47152888854216757
0.0,1.0,8,18,4.428571428571429,True,True,31.75,18.25,0.4998461335765961
0.0,1.0,8,18,4.918367346938775,True,True,33.15,16.85,0.5250147970556169
0.0,1.0,8,18,5.408163265306122,True,True,34.6,15.399999999999999,0.5475396117237453
0.0,1.0,8,18,5.8979591836734695,True,True,36.050000000000004,13.949999999999996,0.5678488153730933
0.0,1.0,8,18,6.387755102040816,True,True,37.45,12.549999999999997,0.5862500430367044
0.0,1.0,8,18,6.877551020408163,True,True,38.900000000000006,11.099999999999994,0.6030027873128087
0.0,1.0,8,18,7.36734693877551,True,True,40.35,9.649999999999999,0.6183325705961544
0.0,1.0,8,18,7.857142857142857,True,True,41.800000000000004,8.199999999999996,0.6324304819724262
0.0,1.0,8,18,8.346938775510203,True,True,43.25,6.75,0.6454270952656792
0.0,1.0,8,18,8.83673469387755,True,True,44.7,5.299999999999997,0.6574546797279326
0.0,1.0,8,18,9.326530612244898,True,True,46.2,3.799999999999997,0.6686235792933684
0.0,1.0,8,18,9.816326530612244,True,True,47.650000000000006,2.3499999999999943,0.6790266426071984
0.0,1.0,8,18,10.306122448979592,True,True,49.1,0.8999999999999986,0.6887425342848115
0.0,1.0,8,18,10.795918367346939,True,False,50.550000000000004,-0.5500000000000043,0.6978383330098776
0.0,1.0,8,18,11.285714285714285,True,False,52.0,-2.0,0.7063718642524063
0.0,1.0,8,18,11.775510204081632,True,False,53.45,-3.450000000000003,0.7143931666974632
0.0,1.0,8,18,12.26530612244898,True,False,54.95,-4.950000000000003,0.7219462467766743
0.0,1.0,8,18,12.755102040816325,True,False,56.400000000000006,-6.400000000000006,0.7290968212379062
0.0,1.0,8,18,13.244897959183673,True,False,57.85,-7.850000000000001,0.7358526404737008
0.0,1.0,8,18,13.73469387755102,True,False,59.300000000000004,-9.300000000000004,0.7422430420985826
0.0,1.0,8,18,14.224489795918368,True,False,60.800000000000004,-10.800000000000004,0.7483148443221312
0.0,1.0,8,18,14.714285714285714,True,False,62.25,-12.25,0.7540878008148566
0.0,1.0,8,18,15.204081632653061,True,False,63.7,-13.700000000000003,0.7595667626651892
0.0,1.0,8,18,15.693877551020408,True,False,65.15,-15.150000000000006,0.7648055127090553
0.0,1.0,8,18,16.183673469387756,True,False,66.65,-16.650000000000006,0.7697927051563797
0.0,1.0,8,18,16.6734693877551,True,False,68.10000000000001,-18.10000000000001,0.7745582756790304
0.0,1.0,8,18,17.163265306122447,True,False,69.55,-19.549999999999997,0.7791183321778571
0.0,1.0,8,18,17.653061224489797,True,False,71.0,-21.0,0.7834768216526893
0.0,1.0,8,18,18.142857142857142,True,False,72.5,-22.5,0.7876623697606311
