sigma,tau_r_critical
0.5,13.244897959183673
0.7346938775510204,13.244897959183673
0.9693877551020409,13.244897959183673
1.2040816326530612,13.244897959183673
1.4387755102040818,13.244897959183673
1.6734693877551021,13.244897959183673
1.9081632653061225,13.244897959183673
2.1428571428571432,13.244897959183673
2.3775510204081636,13.244897959183673
2.612244897959184,13.244897959183673
2.8469387755102042,13.244897959183673
3.0816326530612246,12.755102040816325
3.316326530612245,12.755102040816325
3.5510204081632653,12.755102040816325
3.785714285714286,12.755102040816325
4.020408163265307,12.755102040816325
4.255102040816327,12.755102040816325
4.4897959183673475,12.755102040816325
4.724489795918368,12.755102040816325
4.959183673469388,12.755102040816325
5.1938775510204085,12.755102040816325
5.428571428571429,12.755102040816325
5.663265306122449,12.755102040816325
5.8979591836734695,12.755102040816325
6.13265306122449,12.755102040816325
6.36734693877551,12.755102040816325
6.6020408163265305,12.755102040816325
6.836734693877552,12.755102040816325
7.071428571428572,12.755102040816325
7.306122448979592,12.755102040816325
7.540816326530613,12.26530612244898
7.775510204081633,12.26530612244898
8.010204081632654,12.26530612244898
8.244897959183675,12.26530612244898
8.479591836734695,12.26530612244898
8.714285714285715,12.26530612244898
8.948979591836736,12.26530612244898
9.183673469387756,12.26530612244898
9.418367346938776,12.26530612244898
9.653061224489797,11.775510204081632
9.887755102040817,11.775510204081632
10.122448979591837,11.775510204081632
10.357142857142858,11.775510204081632
10.591836734693878,11.775510204081632
10.826530612244898,11.775510204081632
11.061224489795919,11.285714285714285
11.295918367346939,11.285714285714285
11.53061224489796,11.285714285714285
11.76530612244898,11.285714285714285
12.0,11.285714285714285
