sigma,tau_r,recovery_probability,mean_t_return,mean_functional_time,std_functional_time,mean_x_max,tau_sigma_ratio
0.5,1.0,1.0,13.168333333333333,36.83166666666667,0.3241655955423606,0.48618562613184857,2.0
0.5,1.489795918367347,1.0,14.445,35.555,0.5597644208919962,0.5816621548259983,2.979591836734694
0.5,1.9795918367346939,1.0,15.918333333333333,34.08166666666666,0.7080185236878044,0.6456750176337348,3.9591836734693877
0.5,2.4693877551020407,1.0,17.216666666666665,32.78333333333333,0.915322944077129,0.6925883968086411,4.938775510204081
0.5,2.9591836734693877,1.0,18.645,31.355,1.1377799011444516,0.7289063493270815,5.918367346938775
0.5,3.4489795918367347,1.0,19.925,30.075,1.416512838166198,0.7580020152209334,6.8979591836734695
0.5,3.9387755102040813,1.0,21.278333333333332,28.721666666666668,1.3644301155537004,0.7817965072571611,7.877551020408163
0.5,4.428571428571429,1.0,22.653333333333332,27.346666666666668,1.4482411052205963,0.8017027648410587,8.857142857142858
0.5,4.918367346938775,1.0,23.873333333333335,26.126666666666665,2.072385487595251,0.8186307292076102,9.83673469387755
0.5,5.408163265306122,1.0,24.928333333333335,25.071666666666665,2.156173307814874,0.8332223921719236,10.816326530612246
0.5,5.8979591836734695,1.0,26.461666666666666,23.538333333333334,2.7704936486971534,0.8458433695105061,11.795918367346939
0.5,6.387755102040816,1.0,27.65,22.35,3.58569956623674,0.8569231734824014,12.775510204081632
0.5,6.877551020408163,1.0,28.341666666666665,21.658333333333335,3.3434207996718213,0.8667188940103756,13.755102040816325
0.5,7.36734693877551,1.0,30.003333333333334,19.996666666666666,4.003445355271341,0.8753921422137779,14.73469387755102
0.5,7.857142857142857,1.0,31.580000000000002,18.419999999999998,4.415423594315881,0.8832784677015663,15.714285714285714
0.5,8.346938775510203,1.0,32.41833333333334,17.581666666666663,4.294794028486865,0.8903731174504437,16.693877551020407
0.5,8.83673469387755,1.0,33.86666666666667,16.133333333333333,4.50077260289703,0.896798590076204,17.6734693877551
0.5,9.326530612244898,1.0,35.730000000000004,14.269999999999998,4.802075700619761,0.9026670162235618,18.653061224489797
0.5,9.816326530612244,0.9666666666666667,37.343333333333334,12.656666666666665,6.015694034161286,0.9080709919490836,19.63265306122449
0.5,10.306122448979592,0.9666666666666667,38.156666666666666,11.843333333333332,5.750228381271618,0.9130703226371853,20.612244897959183
0.5,10.795918367346939,0.9666666666666667,39.3,10.699999999999998,6.5042559011455126,0.9176571081951419,21.591836734693878
0.5,11.285714285714285,0.9666666666666667,39.975,10.024999999999999,6.335174792787679,0.9219161237540288,22.57142857142857
0.5,11.775510204081632,0.8,42.516666666666666,7.483333333333332,8.823219106556227,0.9258886537759904,23.551020408163264
