sigma,tau_r,trial,noise_strength,recovered,recovered_within_window,t_return,functional_time,x_max,tau_sigma_ratio,sigma_tau_ratio
0.5,1.0,0,0.02,True,True,12.9,37.1,0.4856330194286072,2.0,0.5
0.5,1.0,1,0.02,True,True,13.100000000000001,36.9,0.4886284701802298,2.0,0.5
0.5,1.0,2,0.02,True,True,12.8,37.2,0.49200659014069503,2.0,0.5
0.5,1.0,3,0.02,True,True,13.9,36.1,0.4948994207610807,2.0,0.5
0.5,1.0,4,0.02,True,True,13.25,36.75,0.49128920581421487,2.0,0.5
0.5,1.0,5,0.02,True,True,13.200000000000001,36.8,0.48862543439528106,2.0,0.5
0.5,1.0,6,0.02,True,True,14.05,35.95,0.49609863791277287,2.0,0.5
0.5,1.0,7,0.02,True,True,13.15,36.85,0.4746324010871442,2.0,0.5
0.5,1.0,8,0.02,True,True,12.9,37.1,0.48337677717162936,2.0,0.5
0.5,1.0,9,0.02,True,True,13.100000000000001,36.9,0.48368136308400617,2.0,0.5
0.5,1.0,10,0.02,True,True,13.0,37.0,0.474963342152007,2.0,0.5
0.5,1.0,11,0.02,True,True,13.700000000000001,36.3,0.4670966740916642,2.0,0.5
0.5,1.0,12,0.02,True,True,12.8,37.2,0.47469434416262046,2.0,0.5
0.5,1.0,13,0.02,True,True,12.8,37.2,0.48269554707764106,2.0,0.5
0.5,1.0,14,0.02,True,True,12.850000000000001,37.15,0.48144378436495205,2.0,0.5
0.5,1.0,15,0.02,True,True,13.100000000000001,36.9,0.4787856591436877,2.0,0.5
0.5,1.0,16,0.02,True,True,13.0,37.0,0.4982123907427403,2.0,0.5
0.5,1.0,17,0.02,True,True,12.950000000000001,37.05,0.4939045870213895,2.0,0.5
0.5,1.0,18,0.02,True,True,13.200000000000001,36.8,0.49855392191949494,2.0,0.5
0.5,1.0,19,0.02,True,True,13.450000000000001,36.55,0.49723425100973107,2.0,0.5
0.5,1.0,20,0.02,True,True,13.05,36.95,0.49430574418651996,2.0,0.5
0.5,1.0,21,0.02,True,True,13.05,36.95,0.49248657866277734,2.0,0.5
0.5,1.0,22,0.02,True,True,13.5,36.5,0.49324262606668623,2.0,0.5
0.5,1.0,23,0.02,True,True,12.850000000000001,37.15,0.4969477548546779,2.0,0.5
0.5,1.0,24,0.02,True,True,13.4,36.6,0.4632137501875464,2.0,0.5
0.5,1.0,25,0.02,True,True,13.4,36.6,0.4965779216943685,2.0,0.5
0.5,1.0,26,0.02,True,True,13.5,36.5,0.5078262351803675,2.0,0.5
0.5,1.0,27,0.02,True,True,13.0,37.0,0.4727392669331376,2.0,0.5
0.5,1.0,28,0.02,True,True,13.25,36.75,0.4700670417300913,2.0,0.5
0.5,1.0,29,0.02,True,True,12.850000000000001,37.15,0.471706042797695,2.0,0.5
0.5,1.489795918367347,0,0.02,True,True,13.950000000000001,36.05,0.5839470516848912,2.979591836734694,0.33561643835616434
0.5,1.489795918367347,1,0.02,True,True,14.700000000000001,35.3,0.5878143245398042,2.979591836734694,0.33561643835616434
0.5,1.489795918367347,2,0.02,True,True,13.700000000000001,36.3,0.5873760450249492,2.979591836734694,0.33561643835616434
0.5,1.489795918367347,3,0.02,True,True,15.100000000000001,34.9,0.595341446681305,2.979591836734694,0.33561643835616434
0.5,1.489795918367347,4,0.02,True,True,16.650000000000002,33.349999999999994,0.5845971814661005,2.979591836734694,0.33561643835616434
0.5,1.489795918367347,5,0.02,True,True,14.4,35.6,0.5780030927529306,2.979591836734694,0.33561643835616434
0.5,1.489795918367347,6,0.02,True,True,15.05,34.95,0.5910281977601057,2.979591836734694,0.33561643835616434
0.5,1.489795918367347,7,0.02,True,True,14.15,35.85,0.566961503592276,2.979591836734694,0.33561643835616434
0.5,1.489795918367347,8,0.02,True,True,14.450000000000001,35.55,0.584820726379087,2.979591836734694,0.33561643835616434
0.5,1.489795918367347,9,0.02,True,True,15.0,35.0,0.5734110087362014,2.979591836734694,0.33561643835616434
0.5,1.489795918367347,10,0.02,True,True,14.600000000000001,35.4,0.5750425906364102,2.979591836734694,0.33561643835616434
0.5,1.489795918367347,11,0.02,True,True,14.850000000000001,35.15,0.5671780961740867,2.979591836734694,0.33561643835616434
0.5,1.489795918367347,12,0.02,True,True,14.25,35.75,0.5681756691769351,2.979591836734694,0.33561643835616434
0.5,1.489795918367347,13,0.02,True,True,14.3,35.7,0.5738648797157311,2.979591836734694,0.33561643835616434
0.5,1.489795918367347,14,0.02,True,True,14.05,35.95,0.5770213962740907,2.979591836734694,0.33561643835616434
0.5,1.489795918367347,15,0.02,True,True,14.700000000000001,35.3,0.5750296367148675,2.979591836734694,0.33561643835616434
0.5,1.489795918367347,16,0.02,True,True,14.0,36.0,0.5981031022609898,2.979591836734694,0.33561643835616434
0.5,1.489795918367347,17,0.02,True,True,14.15,35.85,0.5821151543506123,2.979591836734694,0.33561643835616434
0.5,1.489795918367347,18,0.02,True,True,14.0,36.0,0.5959666893123223,2.979591836734694,0.33561643835616434
0.5,1.489795918367347,19,0.02,True,True,14.200000000000001,35.8,0.5828647066386367,2.979591836734694,0.33561643835616434
0.5,1.489795918367347,20,0.02,True,True,14.350000000000001,35.65,0.5865353762091434,2.979591836734694,0.33561643835616434
0.5,1.489795918367347,21,0.02,True,True,14.200000000000001,35.8,0.585580441479406,2.979591836734694,0.33561643835616434
0.5,1.489795918367347,22,0.02,True,True,14.4,35.6,0.5935331974142841,2.979591836734694,0.33561643835616434
0.5,1.489795918367347,23,0.02,True,True,14.15,35.85,0.5962161325186193,2.979591836734694,0.33561643835616434
0.5,1.489795918367347,24,0.02,True,True,14.25,35.75,0.5618971121528171,2.979591836734694,0.33561643835616434
0.5,1.489795918367347,25,0.02,True,True,14.9,35.1,0.5950616541915232,2.979591836734694,0.33561643835616434
0.5,1.489795918367347,26,0.02,True,True,14.350000000000001,35.65,0.6053891893632987,2.979591836734694,0.33561643835616434
0.5,1.489795918367347,27,0.02,True,True,13.9,36.1,0.5688476310432778,2.979591836734694,0.33561643835616434
0.5,1.489795918367347,28,0.02,True,True,14.75,35.25,0.5641108215941167,2.979591836734694,0.33561643835616434
0.5,1.489795918367347,29,0.02,True,True,13.850000000000001,36.15,0.5640305889411261,2.979591836734694,0.33561643835616434
0.5,1.9795918367346939,0,0.02,True,True,15.700000000000001,34.3,0.648142733388021,3.9591836734693877,0.25257731958762886
0.5,1.9795918367346939,1,0.02,True,True,16.85,33.15,0.6567348697162341,3.9591836734693877,0.25257731958762886
0.5,1.9795918367346939,2,0.02,True,True,15.0,35.0,0.6550578613800597,3.9591836734693877,0.25257731958762886
0.5,1.9795918367346939,3,0.02,True,True,15.9,34.1,0.6610001765717516,3.9591836734693877,0.25257731958762886
0.5,1.9795918367346939,4,0.02,True,True,17.8,32.2,0.646658433754635,3.9591836734693877,0.25257731958762886
0.5,1.9795918367346939,5,0.02,True,True,16.25,33.75,0.6406819475777275,3.9591836734693877,0.25257731958762886
0.5,1.9795918367346939,6,0.02,True,True,16.45,33.55,0.6562766590919764,3.9591836734693877,0.25257731958762886
0.5,1.9795918367346939,7,0.02,True,True,15.600000000000001,34.4,0.631285660913937,3.9591836734693877,0.25257731958762886
0.5,1.9795918367346939,8,0.02,True,True,15.450000000000001,34.55,0.648364231131025,3.9591836734693877,0.25257731958762886
0.5,1.9795918367346939,9,0.02,True,True,16.400000000000002,33.599999999999994,0.6378553455175774,3.9591836734693877,0.25257731958762886
0.5,1.9795918367346939,10,0.02,True,True,16.55,33.45,0.6394264777166409,3.9591836734693877,0.25257731958762886
0.5,1.9795918367346939,11,0.02,True,True,15.700000000000001,34.3,0.6308831736821391,3.9591836734693877,0.25257731958762886
0.5,1.9795918367346939,12,0.02,True,True,16.1,33.9,0.6262126122186861,3.9591836734693877,0.25257731958762886
0.5,1.9795918367346939,13,0.02,True,True,16.8,33.2,0.6302966479661621,3.9591836734693877,0.25257731958762886
0.5,1.9795918367346939,14,0.02,True,True,16.35,33.65,0.6390586833943892,3.9591836734693877,0.25257731958762886
0.5,1.9795918367346939,15,0.02,True,True,15.8,34.2,0.6413220329229212,3.9591836734693877,0.25257731958762886
0.5,1.9795918367346939,16,0.02,True,True,15.4,34.6,0.6707276660804883,3.9591836734693877,0.25257731958762886
0.5,1.9795918367346939,17,0.02,True,True,14.9,35.1,0.6456279113380536,3.9591836734693877,0.25257731958762886
0.5,1.9795918367346939,18,0.02,True,True,15.0,35.0,0.6577996486901423,3.9591836734693877,0.25257731958762886
0.5,1.9795918367346939,19,0.02,True,True,15.850000000000001,34.15,0.6482700465101137,3.9591836734693877,0.25257731958762886
0.5,1.9795918367346939,20,0.02,True,True,17.400000000000002,32.599999999999994,0.6505609023124457,3.9591836734693877,0.25257731958762886
0.5,1.9795918367346939,21,0.02,True,True,15.600000000000001,34.4,0.6556253723193952,3.9591836734693877,0.25257731958762886
0.5,1.9795918367346939,22,0.02,True,True,16.05,33.95,0.6629546658457998,3.9591836734693877,0.25257731958762886
0.5,1.9795918367346939,23,0.02,True,True,15.25,34.75,0.6570837036307566,3.9591836734693877,0.25257731958762886
0.5,1.9795918367346939,24,0.02,True,True,15.600000000000001,34.4,0.6260575193313478,3.9591836734693877,0.25257731958762886
0.5,1.9795918367346939,25,0.02,True,True,16.1,33.9,0.6557418590160744,3.9591836734693877,0.25257731958762886
0.5,1.9795918367346939,26,0.02,True,True,15.700000000000001,34.3,0.6656795380387412,3.9591836734693877,0.25257731958762886
0.5,1.9795918367346939,27,0.02,True,True,15.15,34.85,0.6349545258343969,3.9591836734693877,0.25257731958762886
0.5,1.9795918367346939,28,0.02,True,True,16.0,34.0,0.6251233103059203,3.9591836734693877,0.25257731958762886
0.5,1.9795918367346939,29,0.02,True,True,14.850000000000001,35.15,0.6247863128144853,3.9591836734693877,0.25257731958762886
0.5,2.4693877551020407,0,0.02,True,True,16.75,33.25,0.6942275665554545,4.938775510204081,0.20247933884297523
0.5,2.4693877551020407,1,0.02,True,True,17.0,33.0,0.70489503199204,4.938775510204081,0.20247933884297523
0.5,2.4693877551020407,2,0.02,True,True,15.9,34.1,0.7030151936446858,4.938775510204081,0.20247933884297523
0.5,2.4693877551020407,3,0.02,True,True,17.1,32.9,0.7059848168723504,4.938775510204081,0.20247933884297523
0.5,2.4693877551020407,4,0.02,True,True,19.200000000000003,30.799999999999997,0.6912081241764986,4.938775510204081,0.20247933884297523
0.5,2.4693877551020407,5,0.02,True,True,17.2,32.8,0.6881350275477099,4.938775510204081,0.20247933884297523
0.5,2.4693877551020407,6,0.02,True,True,19.1,30.9,0.7009176589126119,4.938775510204081,0.20247933884297523
0.5,2.4693877551020407,7,0.02,True,True,16.8,33.2,0.6788515320941497,4.938775510204081,0.20247933884297523
0.5,2.4693877551020407,8,0.02,True,True,17.400000000000002,32.599999999999994,0.696349464042801,4.938775510204081,0.20247933884297523
0.5,2.4693877551020407,9,0.02,True,True,17.900000000000002,32.099999999999994,0.6896063812270243,4.938775510204081,0.20247933884297523
0.5,2.4693877551020407,10,0.02,True,True,18.7,31.3,0.6860378647461052,4.938775510204081,0.20247933884297523
0.5,2.4693877551020407,11,0.02,True,True,16.6,33.4,0.6756008194918122,4.938775510204081,0.20247933884297523
0.5,2.4693877551020407,12,0.02,True,True,18.650000000000002,31.349999999999998,0.6672727859123437,4.938775510204081,0.20247933884297523
0.5,2.4693877551020407,13,0.02,True,True,18.1,31.9,0.6717054058430852,4.938775510204081,0.20247933884297523
0.5,2.4693877551020407,14,0.02,True,True,17.150000000000002,32.849999999999994,0.6817529489519154,4.938775510204081,0.20247933884297523
0.5,2.4693877551020407,15,0.02,True,True,16.75,33.25,0.6898744892966161,4.938775510204081,0.20247933884297523
0.5,2.4693877551020407,16,0.02,True,True,16.35,33.65,0.721678296395608,4.938775510204081,0.20247933884297523
0.5,2.4693877551020407,17,0.02,True,True,16.150000000000002,33.849999999999994,0.6959747212354225,4.938775510204081,0.20247933884297523
0.5,2.4693877551020407,18,0.02,True,True,15.5,34.5,0.7075881777518501,4.938775510204081,0.20247933884297523
0.5,2.4693877551020407,19,0.02,True,True,17.0,33.0,0.6967399555898592,4.938775510204081,0.20247933884297523
0.5,2.4693877551020407,20,0.02,True,True,18.2,31.8,0.699937232626134,4.938775510204081,0.20247933884297523
0.5,2.4693877551020407,21,0.02,True,True,17.900000000000002,32.099999999999994,0.7066140988822133,4.938775510204081,0.20247933884297523
0.5,2.4693877551020407,22,0.02,True,True,17.25,32.75,0.7144405487566484,4.938775510204081,0.20247933884297523
0.5,2.4693877551020407,23,0.02,True,True,16.1,33.9,0.7035839049105007,4.938775510204081,0.20247933884297523
0.5,2.4693877551020407,24,0.02,True,True,16.35,33.65,0.6730581781380447,4.938775510204081,0.20247933884297523
0.5,2.4693877551020407,25,0.02,True,True,17.150000000000002,32.849999999999994,0.6965905605439158,4.938775510204081,0.20247933884297523
0.5,2.4693877551020407,26,0.02,True,True,16.95,33.05,0.7152397735425393,4.938775510204081,0.20247933884297523
